location;time_of_measurement;counted_pedestrians;type;incidents
Rathausgasse, Freiburg;2020-01-06 11:12:06 +0100;5;regular;""
Rathausgasse, Freiburg;2020-01-06 11:18:34 +0100;9;regular;""
Rathausgasse, Freiburg;2020-01-06 11:18:35 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 11:24:43 +0100;11;regular;""
Rathausgasse, Freiburg;2020-01-06 11:24:46 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 11:25:19 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 11:29:58 +0100;23;regular;""
Rathausgasse, Freiburg;2020-01-06 11:34:50 +0100;15;regular;""
Rathausgasse, Freiburg;2020-01-06 11:37:56 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 11:39:37 +0100;19;regular;""
Rathausgasse, Freiburg;2020-01-06 11:40:27 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 11:44:32 +0100;11;regular;""
Rathausgasse, Freiburg;2020-01-06 11:48:39 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 11:49:59 +0100;32;regular;""
Rathausgasse, Freiburg;2020-01-06 11:50:46 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 11:54:57 +0100;18;regular;""
Rathausgasse, Freiburg;2020-01-06 11:59:37 +0100;18;regular;""
Rathausgasse, Freiburg;2020-01-06 12:02:56 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 12:04:48 +0100;22;regular;""
Rathausgasse, Freiburg;2020-01-06 12:09:33 +0100;17;regular;""
Rathausgasse, Freiburg;2020-01-06 12:14:22 +0100;4;regular;""
Rathausgasse, Freiburg;2020-01-06 12:14:32 +0100;14;regular;""
Rathausgasse, Freiburg;2020-01-06 12:18:12 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 12:19:56 +0100;21;regular;""
Rathausgasse, Freiburg;2020-01-06 12:23:18 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 12:24:53 +0100;25;regular;""
Rathausgasse, Freiburg;2020-01-06 12:29:24 +0100;8;regular;""
Rathausgasse, Freiburg;2020-01-06 12:29:31 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 12:34:51 +0100;15;regular;""
Rathausgasse, Freiburg;2020-01-06 12:39:48 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 12:39:51 +0100;28;regular;""
Rathausgasse, Freiburg;2020-01-06 12:44:14 +0100;15;regular;""
Rathausgasse, Freiburg;2020-01-06 12:48:15 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 12:49:25 +0100;13;regular;""
Rathausgasse, Freiburg;2020-01-06 12:54:58 +0100;18;regular;""
Rathausgasse, Freiburg;2020-01-06 12:57:34 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 12:59:40 +0100;14;regular;""
Rathausgasse, Freiburg;2020-01-06 13:01:42 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 13:04:27 +0100;16;regular;""
Rathausgasse, Freiburg;2020-01-06 13:05:11 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 13:09:29 +0100;23;regular;""
Rathausgasse, Freiburg;2020-01-06 13:14:34 +0100;5;regular;""
Rathausgasse, Freiburg;2020-01-06 13:14:35 +0100;21;regular;""
Rathausgasse, Freiburg;2020-01-06 13:17:31 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 13:19:45 +0100;15;regular;""
Rathausgasse, Freiburg;2020-01-06 13:24:07 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 13:24:53 +0100;24;regular;""
Rathausgasse, Freiburg;2020-01-06 13:28:01 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 13:29:48 +0100;15;regular;""
Rathausgasse, Freiburg;2020-01-06 13:31:38 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 13:34:34 +0100;24;regular;""
Rathausgasse, Freiburg;2020-01-06 13:39:03 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 13:39:54 +0100;27;regular;""
Rathausgasse, Freiburg;2020-01-06 13:44:51 +0100;33;regular;""
Rathausgasse, Freiburg;2020-01-06 13:49:52 +0100;28;regular;""
Rathausgasse, Freiburg;2020-01-06 13:51:54 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 13:54:51 +0100;25;regular;""
Rathausgasse, Freiburg;2020-01-06 13:58:18 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 13:59:44 +0100;26;regular;""
Rathausgasse, Freiburg;2020-01-06 14:03:01 +0100;4;regular;""
Rathausgasse, Freiburg;2020-01-06 14:04:34 +0100;34;regular;""
Rathausgasse, Freiburg;2020-01-06 14:06:54 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 14:09:52 +0100;22;regular;""
Rathausgasse, Freiburg;2020-01-06 14:11:42 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 14:14:41 +0100;26;regular;""
Rathausgasse, Freiburg;2020-01-06 14:19:34 +0100;5;regular;""
Rathausgasse, Freiburg;2020-01-06 14:19:46 +0100;28;regular;""
Rathausgasse, Freiburg;2020-01-06 14:23:42 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 14:24:51 +0100;23;regular;""
Rathausgasse, Freiburg;2020-01-06 14:27:10 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 14:29:59 +0100;25;regular;""
Rathausgasse, Freiburg;2020-01-06 14:34:03 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 14:34:45 +0100;25;regular;""
Rathausgasse, Freiburg;2020-01-06 14:39:59 +0100;17;regular;""
Rathausgasse, Freiburg;2020-01-06 14:39:59 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 14:42:39 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 14:44:56 +0100;25;regular;""
