location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Süd), Stuttgart;2020-01-06 12:24:43 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 12:24:59 +0100;61;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 12:27:49 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 12:29:39 +0100;79;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 12:33:02 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 12:34:53 +0100;90;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 12:39:54 +0100;85;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 12:44:34 +0100;70;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 12:48:35 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 12:49:59 +0100;111;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 12:54:01 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 12:54:57 +0100;108;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 12:56:03 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 12:59:59 +0100;86;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:00:42 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:04:47 +0100;98;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:06:44 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:09:57 +0100;89;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:13:18 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:14:50 +0100;98;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:15:20 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:19:59 +0100;121;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:23:50 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:24:56 +0100;102;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:29:59 +0100;109;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:33:14 +0100;4;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:34:55 +0100;128;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:38:06 +0100;6;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:39:58 +0100;144;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:44:24 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:44:57 +0100;131;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:47:18 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:49:58 +0100;173;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:54:40 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:54:59 +0100;157;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:56:14 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 13:59:59 +0100;166;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:03:26 +0100;4;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:04:54 +0100;148;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:09:29 +0100;4;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:09:58 +0100;133;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:12:24 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:14:59 +0100;163;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:18:46 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:19:59 +0100;157;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:23:25 +0100;8;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:24:58 +0100;188;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:29:52 +0100;149;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:34:43 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:34:59 +0100;152;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:39:50 +0100;4;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:39:55 +0100;202;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:43:56 +0100;2;regular;""
